16
965 1635
707 783 546
97 191 204
623 556 7
726 139 724
741 477 50
589 733 887
804 334 61
280 660 377
380 578 143
669 249 308
369 796 193
547 42 348
691 2 70
106 290 900
788 116 261
172 106 948
457 478 977
160 303 396
438 71 306
350 557 776
706 268 844
67 321 157
520 606 611
53 843 782
39 567 309
538 307 295
784 746 119
476 148 124
664 593 96
148 235 550
185 86 135
737 719 283
785 164 142
77 646 396
599 787 909
610 291 146
695 462 893
506 72 699
195 762 825
809 553 787
571 536 685
232 716 961
687 334 629
720 430 614
617 468 649
404 501 649
116 569 841
79 99 663
132 117 873
135 694 722
688 828 448
829 865 715
426 262 99
648 492 365
675 95 195
497 741 462
482 250 786
9 30 401
599 432 34
833 803 171
632 127 854
864 428 156
598 516 105
57 816 905
829 738 645
277 841 355
153 857 549
722 265 860
407 34 335
120 151 310
252 352 835
708 848 891
544 543 815
297 94 705
272 384 432
534 424 964
52 165 682
327 15 752
696 368 256
44 295 313
143 631 668
497 646 249
140 513 704
343 619 196
164 496 443
577 816 316
761 88 711
176 340 579
312 167 747
158 306 237
212 441 114
18 169 234
393 560 228
823 453 369
547 376 909
96 458 693
68 666 188
653 769 469
559 45 543
52 366 45
628 600 999
170 612 898
661 790 991
372 555 549
490 601 190
452 488 716
68 841 521
360 553 103
120 686 59
367 520 820
58 280 274
121 529 236
825 667 291
529 381 187
678 262 46
56 100 911
364 650 871
666 45 611
324 660 80
18 407 65
742 792 256
475 97 424
859 510 652
143 657 621
522 770 710
148 577 808
626 835 920
251 365 124
534 456 599
619 447 684
199 300 108
765 562 353
79 195 145
423 683 684
206 572 241
773 431 500
309 710 175
451 750 180
163 641 81
54 539 171
508 457 461
365 220 4
93 45 849
511 147 194
21 406 783
357 519 15
184 226 427
710 219 833
242 523 320
390 184 734
342 588 331
70 98 875
681 23 905
13 298 396
10 66 558
848 290 493
600 268 108
465 391 663
367 705 701
742 393 38
256 511 372
220 21 898
827 799 47
742 378 512
433 659 692
422 688 221
155 835 686
591 833 633
470 129 187
674 498 493
855 1931
793 835 799
205 613 919
565 653 847
303 739 696
574 579 370
307 54 798
427 548 599
798 266 709
212 736 301
779 345 789
643 165 999
750 174 364
225 280 424
159 826 720
118 454 912
624 120 415
19 457 176
159 136 932
96 292 630
697 146 663
269 766 917
602 164 783
10 182 437
362 97 215
709 497 771
618 657 924
626 743 167
452 287 423
226 30 747
791 529 720
122 823 921
271 44 903
450 561 206
354 553 33
688 647 107
307 456 242
599 188 417
827 418 738
545 228 88
157 48 179
513 129 210
669 719 493
319 93 792
202 142 914
117 514 376
202 495 606
703 385 999
797 464 608
582 120 320
617 256 210
109 658 997
646 94 994
71 295 605
408 429 133
274 421 198
488 689 266
164 271 667
688 422 229
540 761 223
372 686 292
9 87 12
274 517 329
181 372 586
689 773 434
143 319 297
206 794 640
207 800 74
855 514 419
290 844 36
300 430 611
831 302 148
708 89 666
710 418 143
574 215 591
481 410 160
68 214 297
39 347 947
754 189 912
276 770 181
183 271 774
467 803 357
520 271 350
719 362 399
294 542 823
175 743 906
418 826 349
15 448 152
822 364 598
592 753 873
444 506 574
552 417 414
60 573 105
477 608 585
277 806 533
335 98 156
770 821 126
87 353 144
758 819 209
190 846 121
728 773 826
645 98 409
303 807 776
465 47 466
751 507 581
677 274 368
92 832 822
633 849 403
655 9 978
530 440 959
735 474 447
142 643 95
729 247 224
725 683 74
202 391 511
595 417 34
204 216 516
265 211 337
507 730 366
312 97 404
506 741 329
358 294 779
527 13 619
445 558 954
825 221 848
406 92 337
174 12 868
586 516 724
760 661 72
203 694 918
297 492 817
779 89 637
632 766 22
736 769 970
58 613 731
829 820 815
338 838 84
304 714 843
302 106 438
15 750 597
496 423 299
846 607 270
651 84 585
502 197 274
228 179 382
386 749 503
713 641 925
830 260 164
761 81 7
77 280 363
559 378 802
403 758 252
522 322 544
97 272 711
375 396 42
590 706 24
514 556 511
640 296 851
629 161 788
276 545 396
562 90 949
556 445 361
742 337 682
231 389 505
174 391 825
737 609 573
832 707 521
197 624 107
26 138 47
339 365 912
447 479 288
305 153 145
769 501 360
33 316 186
834 598 767
135 292 967
544 854 507
837 774 77
570 457 421
798 650 205
745 436 483
336 15 449
2 292 825
434 796 805
10 162 869
100 535 980
57 572 179
441 104 559
18 295 249
309 836 961
288 487 595
665 734 904
27 476 863
447 304 35
440 381 962
359 396 700
837 349 24
548 295 397
13 560 615
268 87 53
849 612 635
613 666 629
103 500 758
154 176 591
482 810 944
583 25 289
96 92 926
112 125 63
574 162 733
353 515 110
620 213 31
374 77 392
84 826 677
608 798 232
504 548 712
613 788 261
384 585 748
608 367 507
157 193 457
541 821 720
494 471 334
665 691 460
530 263 489
582 357 854
589 804 670
409 300 377
198 374 146
728 804 546
665 505 961
687 113 142
778 209 196
598 582 722
515 210 686
738 607 673
601 424 106
394 757 314
711 827 839
305 599 469
687 387 649
755 147 242
508 239 744
591 779 350
216 38 834
417 611 18
816 445 871
340 503 12
119 502 140
619 381 948
632 785 85
673 219 581
417 639 348
806 280 981
260 702 540
188 86 733
836 763 711
89 821 309
630 410 695
709 596 984
212 564 638
814 469 841
449 408 649
614 207 786
790 745 159
697 770 721
636 487 917
340 252 836
446 77 671
288 633 59
838 177 8
620 471 683
436 231 874
735 273 604
7 602 747
558 196 588
307 500 218
443 534 754
722 234 79
562 652 898
832 86 210
429 168 381
348 662 743
566 7 857
400 769 212
654 796 646
855 262 707
448 14 4
805 770 265
345 488 705
47 561 734
378 844 113
169 790 927
701 577 735
12 500 628
603 422 483
643 258 98
390 137 12
578 554 783
497 10 897
699 755 66
757 563 644
620 405 699
438 751 654
92 396 263
279 404 659
250 456 842
565 724 49
50 845 378
844 181 375
428 170 305
95 421 993
166 402 930
689 151 343
587 242 715
23 762 432
824 739 613
828 144 4
836 136 813
427 724 386
763 103 839
167 289 765
123 692 40
482 833 508
400 425 889
381 585 672
158 47 937
684 429 984
201 160 105
335 557 629
597 263 176
805 243 456
98 560 556
141 418 568
575 735 795
586 778 136
86 851 172
182 52 630
343 578 404
447 388 855
567 192 463
138 404 234
170 47 757
580 345 584
178 296 464
188 793 363
780 246 625
482 833 915
191 434 690
521 454 813
322 240 744
451 828 893
408 166 634
411 180 529
558 551 130
194 614 63
574 346 26
772 566 67
338 644 137
400 803 249
831 360 621
773 833 574
441 10 830
388 305 23
623 115 584
575 13 590
610 415 106
566 109 494
556 510 62
6 765 190
721 826 821
777 739 728
257 527 6
553 458 601
134 33 277
639 37 854
134 826 79
89 570 877
797 408 730
214 318 165
234 185 810
740 2 615
452 634 420
262 314 808
614 576 779
852 261 632
249 572 263
241 292 32
379 426 247
846 38 943
730 726 679
419 263 440
714 330 521
595 472 970
86 343 252
288 515 33
693 790 325
193 79 431
195 808 251
438 610 393
321 66 94
299 463 696
811 215 931
793 24 863
628 527 633
669 846 345
187 274 29
354 709 852
465 15 95
672 250 658
799 715 949
373 796 741
393 734 833
309 614 565
254 357 406
48 566 904
622 332 363
255 258 171
555 331 321
485 305 706
260 402 724
66 606 48
834 230 977
558 7 863
274 366 585
344 494 313
404 602 400
720 427 332
133 177 961
230 478 352
19 15 197
813 98 281
544 200 164
422 795 947
319 99 702
268 226 772
679 371 657
98 345 463
515 206 582
362 296 560
718 145 743
126 528 923
672 591 829
550 559 761
582 213 683
840 147 945
679 741 253
129 785 504
649 837 506
283 759 131
385 49 774
838 80 958
160 63 695
665 115 479
646 75 484
630 49 739
177 559 98
557 643 333
1 386 72
374 165 128
766 838 310
25 96 881
483 374 839
273 50 846
331 280 46
211 796 540
165 815 584
566 697 142
773 606 418
138 98 931
592 212 236
351 739 619
348 717 675
369 14 878
616 673 674
797 303 44
761 81 667
285 292 389
390 806 134
20 167 713
106 17 708
492 366 277
633 204 533
838 665 875
678 462 324
141 446 645
599 187 159
191 8 740
549 18 537
351 176 207
610 51 12
552 712 265
163 685 938
772 78 113
189 800 184
169 187 496
729 76 221
630 239 834
499 2 891
411 24 96
234 413 304
687 143 56
238 730 108
820 510 599
402 425 901
376 482 889
384 12 293
797 509 229
174 71 847
34 339 359
133 422 583
54 138 918
147 287 919
39 606 931
564 74 341
683 577 426
380 310 763
213 523 699
258 833 401
618 529 66
349 690 981
248 470 372
839 477 34
539 706 97
517 361 766
147 98 409
369 267 326
206 654 988
254 729 742
833 844 119
745 106 784
99 593 324
798 287 46
570 582 56
339 606 119
145 692 843
296 113 105
733 401 530
788 298 870
537 523 939
665 55 418
596 126 631
130 323 511
722 146 932
554 302 721
562 512 822
216 630 439
476 104 538
254 839 193
559 282 612
182 407 242
541 330 865
120 334 145
105 65 17
661 806 340
456 355 652
274 142 164
180 354 263
807 157 559
563 514 368
804 507 942
485 441 867
633 499 339
68 155 648
554 250 76
467 695 662
710 823 769
5 110 369
639 206 681
530 442 386
730 368 371
149 334 373
544 433 710
392 368 549
778 553 438
636 194 806
79 697 297
533 613 420
316 198 808
216 732 547
469 113 614
576 74 469
617 680 721
244 506 383
614 352 711
850 484 281
728 113 391
510 342 144
681 814 701
740 447 933
670 354 681
348 609 551
107 592 773
486 200 405
735 500 287
791 547 99
215 144 5
610 179 438
97 441 453
251 632 128
762 610 726
546 675 314
252 622 332
488 419 946
555 13 267
761 268 457
649 323 90
366 569 726
115 535 362
106 181 464
358 761 35
575 39 474
39 707 324
551 28 423
666 345 4
230 660 360
762 319 305
77 381 974
365 394 841
497 690 470
647 326 719
327 728 667
286 126 454
838 520 949
616 562 537
11 25 441
156 447 390
137 63 137
384 653 524
845 105 245
592 356 245
297 273 317
291 795 706
138 624 21
731 116 447
847 274 173
679 497 857
53 794 879
509 697 947
337 455 720
29 367 541
469 70 643
617 316 486
631 154 543
194 151 239
77 105 873
415 69 124
245 117 553
268 763 361
42 770 143
328 332 456
332 365 297
538 372 783
791 566 363
693 769 525
583 633 456
160 560 224
783 441 734
829 554 501
109 175 548
525 345 167
484 562 226
325 157 343
391 477 873
580 731 711
295 400 905
761 89 109
690 153 846
421 698 90
210 219 924
495 794 405
10 761 727
132 766 793
341 617 654
598 422 250
781 445 793
538 447 867
505 49 611
766 849 747
791 520 897
750 804 740
324 314 866
139 767 113
556 62 888
178 433 16
477 207 10
673 692 349
222 767 186
57 554 204
375 519 747
35 230 270
829 704 915
14 723 763
534 612 820
653 308 180
451 581 863
252 440 507
187 689 1
142 463 994
96 498 127
605 615 737
707 655 533
345 513 42
801 845 309
544 500 783
264 584 934
611 133 610
266 675 80
390 476 427
594 625 951
608 682 909
140 252 361
382 795 400
325 410 53
82 381 586
249 707 96
716 274 320
851 268 798
397 175 838
381 735 755
691 848 919
328 847 991
401 61 245
354 508 736
472 19 182
521 749 742
368 412 273
654 25 831
800 780 991
17 227 714
50 541 630
463 516 189
203 454 388
95 648 308
680 564 412
572 460 854
29 315 342
240 568 565
37 270 672
675 74 974
146 796 74
372 78 331
322 68 560
361 183 403
185 116 327
316 153 154
733 835 503
67 612 18
60 536 391
854 146 284
361 652 220
149 842 668
775 685 144
283 576 186
425 141 20
659 314 340
278 719 965
455 721 882
185 169 717
336 280 50
809 692 770
523 799 810
161 108 609
547 120 267
220 318 441
133 606 606
452 8 502
220 233 993
312 788 495
238 819 931
725 580 707
607 268 947
822 489 576
78 370 314
524 392 127
375 702 717
502 766 381
552 752 976
699 791 414
35 64 719
279 93 650
153 366 528
779 283 555
433 349 49
229 593 807
39 278 45
609 307 723
682 728 80
479 367 907
330 172 78
13 438 155
143 573 605
796 636 900
575 638 250
140 308 810
333 65 815
838 50 430
598 103 301
618 804 833
147 392 963
647 400 878
298 673 433
124 183 375
637 836 334
549 276 945
591 521 682
426 351 878
461 317 501
508 619 269
233 560 160
595 8 593
171 674 989
785 762 510
195 34 806
99 737 428
845 331 597
189 473 545
250 190 732
734 630 673
446 199 557
283 596 447
557 562 54
293 402 54
69 811 786
387 466 642
647 126 941
52 812 709
39 844 385
293 78 336
636 819 503
551 580 111
182 75 993
590 206 292
534 734 558
23 167 651
140 82 647
641 384 923
658 755 676
509 573 483
854 578 590
101 54 10
177 555 878
248 245 556
168 186 20
109 541 198
70 597 26
35 352 987
524 210 292
377 583 873
751 344 87
414 322 936
131 60 601
741 647 157
16 846 53
841 568 563
283 613 940
171 325 421
268 223 545
285 364 723
785 158 467
265 55 749
769 65 404
116 51 305
219 132 418
467 50 187
69 540 287
705 837 780
786 540 153
400 310 750
274 661 343
11 137 913
412 628 557
203 263 664
343 419 619
189 247 942
836 783 292
592 623 771
838 557 36
697 285 248
290 776 911
182 342 131
576 259 385
800 201 291
4 449 741
412 511 316
379 819 33
766 612 869
539 138 572
573 313 601
841 1 882
716 780 149
536 817 235
833 260 476
28 461 128
649 181 715
13 761 935
434 405 609
45 78 18
246 328 344
228 466 674
85 297 750
75 364 351
634 503 989
497 55 430
78 854 282
481 795 856
176 439 128
740 254 812
499 623 817
490 371 645
193 434 510
646 270 654
294 442 554
423 357 667
747 711 748
737 129 858
560 648 887
321 814 249
745 799 126
529 588 807
398 391 248
293 453 674
502 34 287
681 96 801
720 833 378
117 369 504
111 608 607
851 548 973
838 7 92
511 191 972
711 383 515
297 29 371
394 823 21
537 179 139
814 654 939
135 840 557
473 165 431
413 541 915
519 478 617
764 538 271
848 778 58
295 370 405
530 689 25
203 793 819
584 718 270
296 619 603
501 433 373
686 107 95
676 571 587
672 611 182
26 128 273
555 267 747
18 194 909
106 155 233
463 800 220
40 181 11
567 377 839
692 164 305
169 397 405
59 221 424
203 273 294
827 397 698
510 625 653
215 624 413
674 411 9
553 465 405
159 9 491
805 144 642
503 683 859
278 717 401
854 597 162
755 372 830
306 227 676
50 789 311
204 585 288
316 327 40
518 66 71
488 392 656
70 304 755
833 299 78
51 635 84
53 257 606
723 262 148
790 822 839
133 40 788
476 614 81
233 646 153
749 376 502
813 498 89
578 252 242
211 812 541
636 435 240
613 614 474
70 288 447
477 263 755
631 398 31
766 117 511
733 221 257
87 513 305
458 534 754
344 348 777
495 208 200
417 205 495
509 123 717
301 619 240
378 240 367
66 822 1000
270 179 519
604 763 542
491 484 895
433 689 449
120 123 581
289 252 804
138 167 889
168 747 91
837 719 676
566 49 526
218 150 165
372 553 921
659 129 284
92 402 565
187 428 976
545 389 829
586 543 939
526 649 354
94 39 651
833 400 404
425 4 554
103 730 85
770 10 904
173 228 728
527 179 575
312 541 81
100 845 589
100 50 439
230 429 278
319 89 124
846 626 92
287 222 791
742 544 498
473 479 732
178 38 59
561 761 695
115 697 766
253 850 505
410 844 730
358 84 75
497 457 634
100 636 576
215 541 762
359 157 13
4 602 812
53 475 131
275 315 841
391 125 728
848 481 230
715 342 675
571 633 312
75 52 319
441 565 670
385 170 624
523 447 784
436 835 541
261 400 399
51 313 27
42 319 482
559 647 953
756 423 361
248 201 529
424 744 743
141 833 442
339 55 544
498 804 506
696 17 778
849 402 672
13 725 781
138 135 25
603 610 804
246 321 399
716 774 357
562 481 273
831 660 479
591 507 171
42 651 56
152 748 444
65 401 420
399 534 391
724 831 11
833 468 97
86 220 255
270 682 384
780 52 792
361 337 215
360 148 369
508 594 925
339 504 502
50 648 45
689 431 323
57 748 66
427 797 10
800 706 489
81 702 508
599 692 833
197 237 579
470 211 560
201 553 660
316 723 108
267 848 848
198 318 727
593 575 65
190 155 125
110 112 395
423 138 306
539 53 489
781 15 175
392 515 37
799 66 531
202 800 980
36 217 746
741 816 626
362 601 198
757 408 314
386 762 636
624 180 13
556 793 995
77 163 805
293 637 923
148 404 1
631 245 908
138 646 927
617 400 261
352 342 860
367 742 409
326 822 421
461 131 455
118 801 375
129 157 853
439 152 593
25 465 411
585 440 778
701 632 174
822 503 104
32 387 915
38 839 994
606 559 717
204 744 730
186 300 103
77 407 635
584 581 798
507 529 308
677 814 359
190 36 195
118 183 152
518 595 317
554 725 365
89 607 359
107 316 706
594 298 647
423 383 252
399 427 692
139 489 625
90 763 809
32 700 191
162 326 600
679 258 663
565 751 784
261 390 225
74 409 410
586 377 810
169 413 515
353 20 575
287 767 280
90 422 335
833 844 266
344 317 63
639 473 596
334 141 217
13 582 375
14 597 336
705 153 737
428 735 33
177 1 849
105 445 32
598 198 942
385 532 312
324 65 841
718 333 901
832 333 291
396 564 121
480 32 36
108 187 441
494 92 409
281 846 631
48 794 726
268 320 405
178 584 169
784 92 9
7 561 388
678 208 591
577 303 622
847 822 327
149 796 470
194 510 48
253 294 126
14 122 133
322 853 851
295 221 456
345 587 777
752 212 506
116 324 25
76 151 396
427 803 644
450 225 876
275 117 970
188 680 147
64 343 57
811 25 850
818 264 785
164 37 738
262 524 34
562 454 939
277 400 471
564 239 997
279 666 669
823 717 581
708 412 373
804 535 171
549 115 995
235 584 359
739 222 320
298 632 158
135 674 984
375 546 45
320 503 260
786 179 349
779 443 9
479 629 692
364 436 336
491 527 774
369 180 712
95 697 703
421 702 993
703 54 476
683 426 77
219 361 466
703 413 533
107 801 579
279 771 357
456 605 442
737 589 456
761 162 434
650 658 289
202 656 505
842 272 604
247 826 185
127 454 52
333 599 612
525 129 853
108 415 637
644 107 108
726 208 811
780 540 255
495 756 53
669 157 173
504 570 598
718 531 722
127 278 466
727 74 952
471 147 913
606 728 256
710 767 535
810 836 283
674 488 42
487 661 890
796 522 848
637 214 233
666 1 270
199 435 927
73 545 390
301 523 650
543 711 538
36 122 918
228 639 221
725 325 818
680 246 932
76 41 274
298 695 395
183 31 747
126 572 137
645 709 644
633 499 125
617 167 79
601 85 703
181 71 112
72 275 630
478 739 36
53 417 628
199 243 338
743 826 770
42 341 256
382 169 287
700 224 164
399 313 93
394 242 591
101 771 304
161 705 983
254 17 106
30 561 20
751 151 579
559 683 484
700 816 478
729 431 20
369 580 188
199 828 849
797 58 285
359 352 274
57 161 317
266 636 622
788 260 676
681 389 2
653 522 730
541 497 568
574 749 184
471 179 800
367 412 243
423 663 331
114 22 439
685 373 901
138 854 461
405 824 283
191 416 232
7 649 590
273 229 900
725 530 806
261 585 957
19 548 563
528 579 372
411 464 701
96 483 512
762 247 873
161 665 480
21 30 593
132 806 941
6 69 472
402 63 660
388 431 254
499 152 938
641 107 547
558 844 784
683 303 729
89 613 767
309 18 422
620 107 435
115 743 60
742 315 685
823 497 828
213 125 263
127 718 939
464 141 226
654 426 738
145 230 915
650 655 485
212 33 335
111 245 749
469 751 541
38 688 193
257 33 990
570 670 931
297 725 552
644 90 152
798 611 617
277 126 706
134 725 938
140 506 896
63 783 374
578 203 34
374 268 945
517 66 735
271 240 132
678 80 494
671 242 860
458 558 296
540 425 854
767 630 844
3 824 941
380 516 678
448 624 913
48 290 853
611 830 803
254 613 77
543 92 194
747 26 544
567 552 916
633 758 641
525 328 76
754 570 525
391 844 248
663 429 292
561 495 957
418 433 219
611 646 623
64 534 156
732 716 262
689 3 272
453 570 730
587 554 649
4 717 874
531 682 739
192 160 349
516 615 815
569 124 661
715 652 441
425 124 78
804 318 121
202 297 381
374 341 896
387 540 174
286 455 198
351 637 14
499 826 817
753 516 161
780 646 468
569 580 148
81 42 758
37 530 933
182 270 505
780 230 271
91 837 696
733 326 176
700 243 668
488 550 741
591 456 18
573 171 303
323 77 849
560 846 474
515 153 865
273 336 823
451 850 758
470 736 112
728 589 156
485 399 387
383 442 140
285 177 106
661 104 962
357 80 407
172 433 442
64 525 813
613 335 594
507 367 344
802 497 747
21 113 153
782 815 893
83 246 645
112 614 219
705 257 55
552 383 674
828 351 814
542 649 744
620 5 278
214 350 831
117 71 126
573 485 371
205 371 596
288 455 472
425 787 443
706 855 202
150 776 1
787 107 698
173 553 415
820 138 684
816 729 838
123 256 867
312 614 860
238 101 536
694 521 185
731 723 331
280 107 835
770 174 672
799 267 824
568 143 669
541 700 674
376 745 793
634 350 104
473 118 208
320 502 518
80 283 464
289 620 207
596 717 589
469 190 964
595 844 917
391 559 865
105 560 311
820 736 981
225 484 612
34 506 82
590 548 29
577 170 917
580 773 806
45 610 977
588 167 72
782 133 817
198 581 112
373 298 880
740 770 774
478 4 531
353 68 634
10 358 350
544 618 894
565 816 540
451 795 575
64 250 777
95 33 574
285 230 570
838 350 20
16 791 231
855 404 448
142 439 575
557 840 84
523 598 354
689 644 546
448 330 218
201 603 622
301 812 18
356 161 90
452 805 565
307 489 699
208 441 129
549 114 761
195 807 633
322 136 83
490 221 559
762 568 55
745 563 775
88 809 655
209 135 741
226 110 540
219 524 940
8 154 854
353 673 895
837 456 403
495 118 59
68 540 831
728 241 516
244 676 724
588 319 33
295 55 563
769 127 951
542 330 421
845 490 753
629 286 651
685 17 149
89 63 827
788 416 416
98 383 911
694 316 579
147 460 545
611 87 833
171 200 186
380 168 229
738 313 847
54 587 656
726 711 25
652 298 111
776 404 465
741 453 458
398 121 616
693 235 292
279 775 407
444 572 675
780 298 310
183 254 887
637 739 23
797 381 34
442 275 548
361 90 636
142 67 299
596 629 384
620 460 538
590 617 777
678 529 560
514 838 956
234 233 428
770 163 108
801 488 430
515 587 735
837 675 783
565 244 605
592 845 521
292 723 257
470 257 295
394 297 938
483 474 72
99 98 75
387 394 128
112 810 554
61 184 708
300 372 346
520 62 687
850 347 574
37 614 368
79 645 830
392 377 923
635 813 435
17 223 186
650 589 829
572 640 552
601 416 952
576 537 536
826 55 367
116 128 554
103 670 725
715 424 218
569 796 664
196 572 780
689 378 825
291 79 239
527 829 254
297 745 351
238 705 150
126 40 403
415 255 398
313 486 954
361 351 71
355 517 48
680 197 133
205 141 600
30 810 900
731 784 153
264 639 104
742 231 855
204 189 21
385 258 267
845 153 147
91 530 870
46 41 683
112 419 194
392 298 831
108 156 52
340 825 674
198 382 124
384 739 619
303 133 948
217 338 914
253 42 61
55 507 792
763 589 48
508 497 929
269 781 821
341 437 531
234 509 718
633 251 549
734 144 719
202 199 223
428 522 616
525 155 456
804 130 879
228 730 60
500 685 723
698 240 112
451 259 336
699 228 596
1 474 251
700 159 900
302 782 258
263 819 826
442 706 687
209 515 573
408 512 203
183 534 408
738 202 925
180 30 364
321 683 51
723 541 854
192 315 585
831 225 822
48 179 435
846 225 982
739 256 938
250 569 719
793 256 948
158 138 346
420 68 986
508 21 561
79 466 609
841 513 901
641 610 345
298 592 424
653 532 942
567 814 109
721 210 554
697 200 237
305 588 894
847 484 987
296 298 865
480 566 859
255 210 479
843 707 334
31 371 134
166 310 195
123 245 164
357 263 741
795 177 426
158 321 688
680 694 779
808 771 164
49 459 390
386 117 486
333 611 29
477 371 354
304 604 150
345 621 892
853 177 597
506 221 583
643 792 490
22 742 251
133 611 621
37 663 403
109 53 127
738 33 206
430 295 371
425 833 713
749 516 252
601 339 591
458 219 888
69 57 600
71 351 439
115 40 294
187 605 139
749 282 753
679 690 497
851 136 826
218 678 739
24 623 214
7 424 155
272 439 570
335 83 659
496 425 313
201 348 658
474 579 203
808 795 567
782 587 106
129 764 764
754 303 942
333 116 464
216 361 727
457 595 9
776 567 610
149 328 871
153 446 636
737 716 457
764 32 255
740 568 658
232 259 716
287 722 60
575 844 892
169 384 880
314 10 140
763 751 595
424 91 159
810 154 761
166 658 831
766 154 602
649 540 58
675 800 923
103 841 362
494 259 208
366 252 675
555 484 897
831 659 533
65 117 908
262 682 692
280 358 97
32 144 158
814 162 991
327 686 110
169 714 978
847 545 805
636 524 427
720 685 63
405 469 339
2 319 828
264 483 845
821 24 136
805 444 206
117 848 229
303 387 373
240 635 54
136 313 17
851 340 193
315 513 292
734 826 881
746 530 291
581 449 208
766 43 416
196 86 206
239 464 403
358 335 696
548 852 773
549 92 231
330 134 65
452 842 104
832 339 376
561 718 907
780 309 723
76 840 129
558 296 657
526 845 595
535 515 764
670 299 560
187 844 742
222 684 169
853 728 832
299 656 684
824 456 477
170 490 772
510 494 416
264 833 313
126 216 265
539 382 344
117 576 795
501 183 475
425 586 808
416 633 796
325 41 694
118 111 50
576 577 756
618 585 180
731 97 747
102 563 172
45 651 314
373 165 907
456 771 431
531 648 984
316 282 834
615 794 766
471 620 454
294 12 140
724 30 715
638 639 617
660 339 695
393 435 313
20 744 786
318 255 183
527 25 374
271 53 878
580 500 953
686 628 577
111 40 423
176 794 465
383 558 889
356 378 886
512 718 843
800 314 635
674 115 420
501 439 41
544 78 270
533 243 806
401 828 70
345 399 805
801 106 51
146 281 30
440 362 861
456 78 781
116 566 918
87 767 285
538 243 481
343 386 367
581 703 808
378 247 246
494 140 720
97 487 127
314 564 420
210 575 419
755 133 786
584 259 410
437 42 506
650 71 884
740 496 774
678 684 789
17 86 639
771 258 970
483 90 343
153 513 67
602 160 169
806 393 397
18 835 170
99 715 770
588 483 816
451 180 952
526 666 125
151 447 677
252 260 652
175 362 809
658 37 420
338 691 751
484 602 518
608 567 819
677 808 574
624 514 549
86 402 418
322 379 37
542 549 766
479 786 224
48 601 680
561 839 636
728 766 771
460 362 29
729 441 262
629 223 929
139 620 39
440 740 897
88 262 803
598 608 901
559 306 652
638 167 811
377 280 471
815 294 793
297 215 660
828 67 640
90 179 210
188 548 927
308 18 460
480 178 94
396 358 172
809 690 26
526 803 841
202 137 525
755 209 965
786 130 308
376 261 143
164 830 302
653 656 578
501 548 115
106 37 762
945 1703
304 297 830
193 890 172
62 572 684
885 389 793
528 236 828
463 316 485
51 436 246
725 793 292
123 232 570
308 646 591
307 164 663
548 914 92
681 353 297
471 254 200
683 230 193
587 60 105
28 416 679
698 122 367
862 160 204
890 122 447
434 630 846
419 373 538
644 782 737
114 292 772
613 627 599
51 684 78
69 18 40
338 623 655
383 159 704
717 916 997
923 688 613
224 130 139
443 47 661
626 897 371
608 354 908
902 98 437
683 909 595
466 584 646
161 832 121
429 755 845
83 62 636
708 340 216
36 791 569
573 268 427
638 945 942
378 332 149
200 7 610
487 29 427
115 874 80
944 749 295
354 510 581
529 845 250
534 638 885
550 602 834
604 483 361
796 514 951
389 836 334
557 482 190
592 859 413
750 671 149
102 707 152
425 391 192
840 627 40
468 832 695
270 642 116
800 347 885
864 607 451
852 343 478
882 131 395
608 250 916
311 233 351
649 182 464
98 876 792
508 676 535
726 886 924
59 25 17
44 493 436
619 378 684
584 682 468
172 186 789
78 322 434
506 918 413
521 235 958
701 803 540
57 684 531
565 290 752
169 762 601
846 864 169
692 181 523
309 453 36
581 102 3
915 545 52
568 209 759
203 834 79
462 784 477
584 529 762
299 834 203
640 908 362
553 602 319
232 10 129
404 352 431
702 721 609
704 401 150
315 47 708
566 473 303
583 883 800
145 506 295
878 230 50
323 697 84
24 943 46
656 250 2
485 924 1
579 24 717
524 712 834
818 369 810
339 129 346
672 734 227
611 554 547
875 924 474
77 843 34
689 383 167
786 195 878
175 459 364
97 621 17
437 908 639
119 776 352
33 592 954
313 382 875
738 111 294
927 553 751
308 210 335
402 161 213
884 763 283
654 923 918
474 611 216
914 812 546
823 708 464
506 103 787
127 672 211
803 633 267
287 497 568
780 842 163
232 559 915
398 25 19
343 765 751
374 64 460
123 638 535
802 306 404
658 365 20
945 65 900
256 50 716
78 568 411
361 170 71
753 542 600
141 27 91
777 446 952
116 626 254
195 459 873
211 616 722
932 889 204
499 60 388
288 860 664
200 941 208
195 65 733
396 618 610
390 308 254
254 480 183
516 210 603
331 59 41
406 537 260
9 885 997
826 286 800
476 244 907
680 494 284
937 800 47
346 429 614
386 860 336
244 66 637
468 806 981
464 121 725
109 608 886
835 173 365
569 240 767
476 288 459
54 415 341
256 625 878
351 241 177
359 67 311
124 276 836
458 41 324
729 197 65
822 767 914
538 255 791
250 219 673
371 643 216
452 292 360
267 181 253
647 889 461
594 926 163
527 742 648
263 66 601
690 137 812
591 446 332
248 1 452
750 439 980
90 770 111
215 516 583
575 475 336
634 737 516
713 231 323
488 893 627
402 760 843
102 393 887
157 359 500
364 55 434
710 226 391
622 465 537
933 642 868
485 906 267
192 915 582
121 374 213
706 141 164
460 420 739
929 365 432
789 372 977
761 398 599
569 75 942
285 418 105
259 849 620
